,Restaurant,Location,Reviewer,Ratings,Review
0,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Sarah J.,5 star rating,I'm so happy this place is finally open. 
1,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Oscar G.,5 star rating,Butcher and the Brewer is an awesome place to head for when you want to share food with friends or family.  I went here pre-Pandemic with three friends and we had an outstanding dining experience!
2,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Laura P.,5 star rating,"Nice place and interesting food and brews. Love the concept of shared plates. For 2 of us, we had the charcuterie, sliders, and the breakfast flatbread, which was the perfect amount of food and everything was delicious, especially the flatbread. The SO had a mule and I had a couple of samplers - beer was delish but didn't want to drink too much to take away from the food."
3,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Ba Chomp Ba Chomp Ba Chewy Chomp P.,5 star rating,Attended a beer event in February.  
4,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Tara K.,5 star rating,Amazing please with great thoughtful service Bs a beautiful view of a lovely street with the best of downtown Cleveland view.
5,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Elsa C.,5 star rating,"Really impressed.  Excellent service. The atmosphere is great as well, but the food really does stand out here, while the flight was also quite good. It is highly recommended to visit, great experience! Can't wait to go back."
6,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Amy M.,4 star rating,"We had such a fun time here. My husband and I sampled all the beer. Yes- all of it. Great saisons, great lagers, great weisse. I'm not a fan of stouts or IPAs but the husband approved. Service was friendly and informative. "
7,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Susan L.,4 star rating,Such good and different food!! It's American food with a bit of a twist. The pork shank is a must try - it is so crispy and the horse radish like sauce that comes with it is very well done. 
8,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Ashley M.,5 star rating,I had a wonderful time at the Butcher and the Brewer.
9,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Lauren S.,4 star rating,"We were in Cleveland for a few days and wanted to go somewhere with friends that had something everyone could agree on. It was also within walking distance from our hotel. There was a 45 min wait when we arrived on a Monday night, prob because of the Cleveland Browns game on. We went to another bar to get a drink while waiting and got one of those buzzer things. It seemed like it was a little shorter than 45 minutes. I was in the middle of playing a game and we had to quick close out to get back here. I think they might have thought we weren't coming because when we arrived we still had to wait like 5 min for them to clear a table off."
10,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Chelsea E.,4 star rating,This one has been on my list for awhile. I finally got a chance to check it out on a fall Sunday evening with my sister and brother-in-law. 
11,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Rose K.,5 star rating,Considering butcher and brewer for a wedding rehearsal dinner. We wanted to view the venue and try the food.   
12,Butcher and the Brewer,"2043 E 4th StCleveland, OH 44115",Dan R.,4 star rating,"Love the way 4th Street is closed off as a pedestrian mall and transformed as vibrant Restaurant Row. The street was crowded and alive when we walked over, and after perusing the endless number of restaurant selections, we decided to put our names in at the Butcher and the Brewer."
