,Name,link
0,Go Buddha Meals,http://yelp.com//adredir?ad_business_id=5v7KzF_DVr7LgM_nhqpNug&campaign_id=AKg7CL_f0AKyV0irtouwFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgo-buddha-meals-rocky-river&request_id=3b125b6916523a3d&signature=1d9b4fcaf660ba9a3d9957e0932f679a86c4e264029f8ded56be642117de9721&slot=0
1,Butcher and the Brewer,http://yelp.com//biz/butcher-and-the-brewer-cleveland?osq=Restaurants
2,The Bourbon Street Barrel Room,http://yelp.com//biz/the-bourbon-street-barrel-room-cleveland?osq=Restaurants
3,Sokolowski’s University Inn,http://yelp.com//biz/sokolowskis-university-inn-cleveland?osq=Restaurants
4,LJ Shanghai,http://yelp.com//biz/lj-shanghai-cleveland?osq=Restaurants
5,L’Albatros,http://yelp.com//biz/l-albatros-cleveland?osq=Restaurants
6,Fat Cats,http://yelp.com//biz/fat-cats-cleveland?osq=Restaurants
7,Mia Bella Restaurant,http://yelp.com//biz/mia-bella-restaurant-cleveland?osq=Restaurants
8,Slyman’s Restaurant,http://yelp.com//biz/slymans-restaurant-cleveland?osq=Restaurants
9,Herb ‘n Twine,http://yelp.com//biz/herb-n-twine-cleveland?osq=Restaurants
10,Noble Beast Brewing,http://yelp.com//biz/noble-beast-brewing-cleveland-4?osq=Restaurants
